,Sample Location,Sample Media,Sample Date,Sampling Party,PFBA,PFBS,PFPeA,PFHxA,PFHxS,PFHpA,PFHpS,6:2 FTS,PFOA,PFOS,PFOSA,PFNA,8:2 FTS,PFDA,PFDS,NMeFOSAA,PFUnA,NEtFOSAA,PFDoA,PFTriA,PFTeA,Total PFAS,PFOA+PFOS,Lab,EPA Test Method
4,"Alamogordo Area Public Drinking Water Systems, Alamogordo Prather Treatment Plant",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
5,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 1 entry point",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
6,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 2 entry point",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
7,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 4 entry point",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
8,"Alamogordo Area Public Drinking Water Systems, Boles Acres treatment unit 5 entry point",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
9,"Alamogordo Area Public Drinking Water Systems, Holloman AFB chlorination station EP",DW,3/5/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
10,"Alamogordo Area Public Drinking Water Systems, Dollar General Boles Acres well #1",DW,3/6/2019,NMED,not tested,ND,not tested,ND,ND,ND,not tested,not tested,ND,ND,not tested,ND,not tested,ND,not tested,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M
13,"Alamogordo Area Private Wells (domestic, irrigation, industrial), BGNDRF well #1",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
14,"Alamogordo Area Private Wells (domestic, irrigation, industrial), BGNDRF well #2",GW,2/20/2019,NM DoH,11,4.9,5.4,6.3,9.6,5.8,ND,ND,220,16,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,279,236,TestAmerica,537 M-ID
15,"Alamogordo Area Private Wells (domestic, irrigation, industrial), BGNDRF well #3",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
16,"Alamogordo Area Private Wells (domestic, irrigation, industrial), BGNDRF well #4",GW,4/8/2019,NM DoH,3.5,ND,1.8,2.3,5.3,2.4,ND,ND,120,24,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,159.3,144,TestAmerica,537 M-ID
17,"Alamogordo Area Private Wells (domestic, irrigation, industrial), BGNDRF well #5",GW,4/8/2019,NM DoH,4,ND,ND,ND,4.6,ND,ND,ND,95,7.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,111.3,102.7,TestAmerica,537 M-ID
18,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well C-17a",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
19,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well C-17b",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
20,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well C-21a",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
21,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well C-21b",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
22,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well LD-1",GW,2/20/2019,NM DoH,ND,ND,ND,ND,3.3,ND,3.3,ND,33,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,40,33,TestAmerica,537 M-ID
23,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well LD-2",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,8,TestAmerica,537 M-ID
24,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well LD-3",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,18,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,18,18,TestAmerica,537 M-ID
25,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well LD-4",GW,2/20/2019,NM DoH,2.3,ND,4.8,2,4.3,1.9,ND,ND,64,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,83,68,TestAmerica,537 M-ID
26,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-1",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
27,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-2",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
28,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-3",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
29,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-4",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
30,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-5a",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
31,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-5b",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
32,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-6a",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
33,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-6b",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
34,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well MV-7",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
35,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well S-36",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,3.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.6,3.6,TestAmerica,537 M-ID
36,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well Z-1",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
37,"Alamogordo Area Private Wells (domestic, irrigation, industrial), domestic well Z-950",GW,4/8/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,3.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.4,3.4,TestAmerica,537 M-ID
40,"Holloman AFB Monitoring Wells, Evaporation pond #2 MW05001",GW,11/6/2017,USAF,not tested,27700,not tested,96700,264000,10100,not tested,115000,26600,1040000,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,1580100,1066600,Accutest,537 M
41,"Holloman AFB Monitoring Wells, Former fire training area FT31-LM4",GW,11/6/2017,USAF,not tested,26600,not tested,30300,88300,4560,not tested,11300,6090,1950,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,169100,8040,Accutest,537 M
42,"Holloman AFB Monitoring Wells, Former fire training area FT31-LM5",GW,11/6/2017,USAF,not tested,226000,not tested,672000,859000,66100,not tested,329000,254000,48400,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2454500,302400,Accutest,537 M
43,"Holloman AFB Monitoring Wells, Former fire training area MW01004",GW,11/5/2017,USAF,not tested,ND,not tested,817,1220,ND,not tested,271,746,1280,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,4334,2026,Accutest,537 M
44,"Holloman AFB Monitoring Wells, Sewage lagoons MW02004",GW,11/5/2017,USAF,not tested,378,not tested,1020,791,269,not tested,ND,115,241,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2814,356,Accutest,537 M
45,"Holloman AFB Monitoring Wells, Sewage lagoons MW02005",GW,11/5/2017,USAF,not tested,301,not tested,775,729,136,not tested,46.5,146,325,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2459,471,Accutest,537 M
46,"Holloman AFB Monitoring Wells, Sewage lagoons MW02006",GW,11/5/2017,USAF,not tested,732,not tested,3520,6690,963,not tested,1700,854,8270,not tested,228,ND,ND,not tested,ND,ND,ND,ND,ND,ND,22957,9124,Accutest,537 M
47,"Holloman AFB Monitoring Wells, Golf course MW-3",GW,11/5/2017,USAF,not tested,286,not tested,598,1470,114,not tested,54.6,89.1,48,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2660,137,Accutest,537 M
50,"Holloman AFB Surface Water, Sewage lagoons SW02007",SW,11/4/2017,USAF,not tested,716,not tested,3160,3870,881,not tested,5340,941,2250,not tested,44.2,ND,ND,not tested,ND,ND,ND,ND,ND,ND,17202,3191,Accutest,537 M
51,"Holloman AFB Surface Water, Golf course pond #1 SW03001",SW,11/4/2017,USAF,not tested,105,not tested,337,803,84.9,not tested,51.3,97,1220,not tested,10.6,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2709,1317,Accutest,537 M
52,"Holloman AFB Surface Water, Golf course pond #2 SW03002",SW,11/4/2017,USAF,not tested,156,not tested,539,1200,130,not tested,ND,117,878,not tested,11,ND,ND,not tested,ND,ND,ND,ND,ND,ND,3031,995,Accutest,537 M
53,"Holloman AFB Surface Water, HAFB outfall into Lake H. SW04001",SW,11/4/2017,USAF,not tested,79.8,not tested,229,585,52.4,not tested,127,74.6,951,not tested,ND,ND,ND,not tested,ND,ND,ND,ND,ND,ND,2099,1026,Accutest,537 M
54,"Holloman AFB Surface Water, Lagoon G outfall into Lake H. SW04002",SW,11/4/2017,USAF,not tested,239,not tested,979,2740,286,not tested,455,2450,310,not tested,45.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,7505,2760,Accutest,537 M
55,"Holloman AFB Surface Water, Lake Holloman southeast side #1",SW,4/8/2019,NM DoH,9300,5700,24000,28000,16000,3500,280,8700,1600,5900,ND,130,ND,ND,ND,ND,ND,ND,ND,ND,ND,103110,7500,TestAmerica,537 M-ID
56,"Holloman AFB Surface Water, Lake Holloman central east side #2",SW,4/8/2019,NM DoH,9500,5600,22000,32000,15000,3900,200,7900,1300,4500,ND,95,ND,ND,ND,ND,ND,ND,ND,ND,ND,101995,5800,TestAmerica,537 M-ID
57,"Holloman AFB Surface Water, Lake Holloman northeast side #3",SW,4/8/2019,NM DoH,9500,5900,25000,31000,14000,3000,100,7500,990,1700,ND,35,ND,ND,ND,ND,ND,ND,ND,ND,ND,98725,2690,TestAmerica,537 M-ID
60,"HAFB Wastewater Treatment Plant Effluent, EF03003",Eff,11/6/2017,USAF,not tested,89.6,not tested,229,602,60.2,not tested,118,73.8,776,not tested,6.5,ND,ND,not tested,ND,ND,ND,ND,ND,ND,1955,850,Accutest,537 M
63,"White Sands National Monument Monitoring Wells, WS1",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
65,"White Sands National Monument Monitoring Wells, WS2",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID
66,"White Sands National Monument Monitoring Wells, WS3",GW,2/20/2019,NM DoH,16,5.8,ND,ND,3.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,25.4,0,TestAmerica,537 M-ID
67,"White Sands National Monument Monitoring Wells, WS4",GW,2/20/2019,NM DoH,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,TestAmerica,537 M-ID